Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp,FlowId,ClientId,Fqdn
16476,CrossDeviceService.exe,IPv4,TCP,ESTAB,192.168.1.34,40979,20.192.44.80,443,2025-08-23T15:13:06Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1344,Slack.exe,IPv4,TCP,ESTAB,192.168.1.34,40980,3.108.125.57,443,2025-08-23T15:13:06Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
7192,PhoneExperienceHost.exe,IPv4,TCP,ESTAB,192.168.1.34,40987,20.192.44.68,443,2025-08-23T15:13:07Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
20692,msedgewebview2.exe,IPv4,TCP,ESTAB,192.168.1.34,40996,48.218.107.40,443,2025-08-23T15:13:09Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
27760,Discord.exe,IPv4,TCP,ESTAB,192.168.1.34,41004,35.186.224.45,443,2025-08-23T15:13:17Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
9356,Grammarly.Desktop.exe,IPv4,TCP,ESTAB,192.168.1.34,42114,52.45.91.167,443,2025-08-23T16:24:49Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
9356,Grammarly.Desktop.exe,IPv4,TCP,ESTAB,192.168.1.34,42115,18.204.66.180,443,2025-08-23T16:24:49Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
9356,Grammarly.Desktop.exe,IPv4,TCP,CLOSE_WAIT,192.168.1.34,42118,18.204.66.180,443,2025-08-23T16:24:51Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
5444,svchost.exe,IPv4,TCP,ESTAB,192.168.1.34,46483,4.213.25.242,443,2025-08-23T15:12:53Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
9356,Grammarly.Desktop.exe,IPv4,TCP,ESTAB,192.168.1.34,47335,67.202.60.100,443,2025-08-23T16:22:00Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1256,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2025-08-17T15:06:47Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1048,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2025-08-17T15:06:47Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
2152,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2025-08-17T15:06:48Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
2856,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2025-08-17T15:06:48Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4292,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2025-08-17T15:06:49Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
6920,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49692,127.0.0.1,49693,2025-08-17T15:06:51Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
6920,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49693,127.0.0.1,49692,2025-08-17T15:06:51Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1200,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49697,0.0.0.0,0,2025-08-17T15:06:52Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
6920,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49708,127.0.0.1,49709,2025-08-17T15:07:00Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
6920,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49709,127.0.0.1,49708,2025-08-17T15:07:00Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
18332,msedge.exe,IPv4,TCP,ESTAB,192.168.1.34,54115,52.98.88.242,443,2025-08-23T16:11:16Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4692,chrome.exe,IPv4,TCP,ESTAB,192.168.1.34,54767,130.211.16.53,443,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,54769,127.0.0.1,8000,2025-08-23T16:27:37Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,54771,127.0.0.1,8000,2025-08-23T16:27:37Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,54774,127.0.0.1,8000,2025-08-23T16:27:37Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,54775,127.0.0.1,8000,2025-08-23T16:27:37Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,54777,127.0.0.1,8000,2025-08-23T16:27:40Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,54779,127.0.0.1,8000,2025-08-23T16:27:41Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4692,chrome.exe,IPv4,TCP,ESTAB,192.168.1.34,56413,172.64.148.235,443,2025-08-23T16:21:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
10872,OneDrive.exe,IPv4,TCP,ESTAB,192.168.1.34,56414,4.213.25.240,443,2025-08-23T16:21:41Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4692,chrome.exe,IPv4,TCP,ESTAB,192.168.1.34,58566,51.104.15.252,443,2025-08-23T16:27:28Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
19984,cmd.exe,IPv4,TCP,ESTAB,192.168.1.34,62307,188.138.25.13,85,2025-08-23T15:12:57Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2025-08-17T15:06:50Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1548,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2025-08-17T15:06:47Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv6,TCP,LISTEN,::,445,::,0,2025-08-17T15:06:50Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
6920,nessusd.exe,IPv6,TCP,LISTEN,::,8834,::,0,2025-08-17T15:06:56Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1256,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2025-08-17T15:06:47Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1048,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2025-08-17T15:06:47Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
2152,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2025-08-17T15:06:48Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
2856,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2025-08-17T15:06:48Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4292,spoolsv.exe,IPv6,TCP,LISTEN,::,49668,::,0,2025-08-17T15:06:49Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
5484,jhi_service.exe,IPv6,TCP,LISTEN,::1,49669,::,0,2025-08-17T15:06:50Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1200,services.exe,IPv6,TCP,LISTEN,::,49697,::,0,2025-08-17T15:06:52Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4744,svchost.exe,IPv4,UDP,,0.0.0.0,53,,0,2025-08-19T18:29:11Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,UDP,,172.21.128.1,137,,0,2025-08-19T18:29:14Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,UDP,,192.168.1.34,137,,0,2025-08-23T15:12:52Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,UDP,,192.168.73.1,137,,0,2025-08-23T15:12:10Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,UDP,,192.168.202.1,137,,0,2025-08-23T15:12:10Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
